,paragraph_ID,text_ID,filename,condition
0,1,1,N_t1_p1,N
1,2,1,N_t1_p2,N
2,3,1,N_t1_p3,N
3,4,1,N_t1_p4,N
4,5,1,N_t1_p5,N
5,6,1,N_t1_p6,N
6,1,2,C_t2_p1,C
7,2,2,C_t2_p2,C
8,3,2,C_t2_p3,C
9,4,2,C_t2_p4,C
10,5,2,C_t2_p5,C
11,6,2,C_t2_p6,C
12,1,5,C_t5_p1,C
13,2,5,C_t5_p2,C
14,3,5,C_t5_p3,C
15,4,5,C_t5_p4,C
16,5,5,C_t5_p5,C
17,6,5,C_t5_p6,C
18,1,6,H_t6_p1,H
19,2,6,H_t6_p2,H
20,3,6,H_t6_p3,H
21,4,6,H_t6_p4,H
22,5,6,H_t6_p5,H
23,6,6,H_t6_p6,H
24,1,3,H_t3_p1,H
25,2,3,H_t3_p2,H
26,3,3,H_t3_p3,H
27,4,3,H_t3_p4,H
28,5,3,H_t3_p5,H
29,6,3,H_t3_p6,H
30,1,4,N_t4_p1,N
31,2,4,N_t4_p2,N
32,3,4,N_t4_p3,N
33,4,4,N_t4_p4,N
34,5,4,N_t4_p5,N
35,6,4,N_t4_p6,N
